Código da Instalação de Transporte;Nome da Instalação de Transporte;Nome da Instalação de Gasoduto;Código da Instalação de Gasoduto;Tipo da Instalação do Gasoduto;Nome do Município da Instalação de Gasoduto;Nome da UF da Instalação de Gasoduto;Nome do Operador da Instalação de Gasoduto;Código do Operador da Instalação de Gasoduto;Nome do Carregador que usa a Instalação de Gasoduto;Código do Carregador que usa a Instalação de Gasoduto;Nome do Contrato da Instalação do Gasoduto;Nome da variável;01/07/2021;02/07/2021;03/07/2021;04/07/2021;05/07/2021;06/07/2021;07/07/2021;08/07/2021;09/07/2021;10/07/2021;11/07/2021;12/07/2021;13/07/2021;14/07/2021;15/07/2021;16/07/2021;17/07/2021;18/07/2021;19/07/2021;20/07/2021;21/07/2021;22/07/2021;23/07/2021;24/07/2021;25/07/2021;26/07/2021;27/07/2021;28/07/2021;29/07/2021;30/07/2021;31/07/2021
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Alocação;0;0;100;100;100;100;0;0;0;0;86;100;0;0;100;100;100;88;100;100;100;100;100;0;0;0;0;0;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Pressão Média;61,50;61,00;62,00;66,80;64,60;60,20;58,90;58,50;58,10;57,70;59,30;60,60;57,40;57,00;53,20;55,70;55,00;58,30;63,00;65,00;67,20;65,50;60,80;58,90;58,50;58,10;57,70;57,30;56,90;56,60;56,80
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Solicitado;0,00;0,00;500,00;1200,00;500,00;250,00;0,00;0,00;0,00;0,00;1280,00;0,00;0,00;0,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Programado;0,00;0,00;500,00;1200,00;500,00;250,00;0,00;0,00;0,00;0,00;1280,00;0,00;0,00;0,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;2240,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Volume Realizado;0,00;0,00;0,00;680,90;1134,56;783,98;0,00;0,00;0,00;0,00;0,00;842,71;1016,51;0,00;1104,98;2261,42;2276,75;2221,15;2269,21;2275,67;2271,81;1956,51;725,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Alocação;0;0;0;99;99;99;0;0;0;0;0;99;99;0;99;99;99;100;99;99;100;99;98;0;0;0;0;0;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;Termocuiabá;111565;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;Ambar;;Gasocidente do Mato Grosso Ltda x AMBAR Energia Ltd.;Pressão Média;56,80;56,50;61,00;63,80;61,20;46,20;44,10;43,80;43,50;43,20;55,50;58,90;43,70;34,60;36,60;39,30;41,30;43,60;49,20;48,90;50,80;52,30;58,70;58,20;58,10;57,90;57,60;57,20;56,90;56,70;56,50
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Gás de Uso no Sistema;0,00;0,00;0,00;-10,00;-4,96;0,00;0,00;0,00;0,00;0,00;0,00;-13,42;0,00;0,00;66,74;-49,16;-10,05;-5,83;19,25;-19,22;-18,26;-53,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Gás Não Contado;0,00;0,00;0,00;-0,11;-0,06;0,00;0,00;0,00;0,00;0,00;0,00;-0,17;0,00;0,00;0,91;-0,25;-0,07;-0,02;0,11;-0,13;-0,08;-0,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Perdas Operacionais;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Perdas Extraordinárias;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Desequilibrio Diário;-12,86;-10,29;-15,97;-7,22;-13,28;-10,58;-12,92;-16,24;-12,88;-16,11;140,97;-11,10;-10,42;-15,92;-15,24;-11,67;-14,81;292,85;-13,07;-15,08;-9,66;-18,12;-13,75;-10,56;-8,36;-14,30;-11,99;-21,11;-12,03;-14,67;-9,15
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Desequilíbrio Diário Acumulado;-12,86;-23,15;-39,12;-46,34;-59,63;-70,21;-83,13;-99,37;-112,25;-128,35;12,61;1,51;-8,91;-24,83;-40,07;-51,74;-66,55;226,30;213,23;198,15;188,49;170,38;156,63;146,07;137,71;123,41;111,42;90,31;78,28;63,61;54,46
700521;Bolívia - Mato Grosso Lateral Cuiabá;;;;;;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;;Empacotamento;2705,00;2694,71;3014,04;3257,25;2614,79;2071,14;2058,22;2041,98;2029,10;2012,99;3075,59;2637,75;1610,82;1594,89;2120,98;2284,51;2251,40;2534,76;2473,40;2502,59;2540,67;2919,88;2796,57;2786,01;2777,65;2763,35;2751,36;2730,26;2718,22;2703,56;2694,40
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Solicitado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;0,00;0,00;0,00;0,00;0,00;0,00;300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Programado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;0,00;0,00;0,00;0,00;0,00;0,00;300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Realizado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,78;0,00;0,00;0,00;0,00;0,00;0,00;300,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Alocação;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700521;Bolívia - Mato Grosso Lateral Cuiabá;Cáceres;111567;Ponto de Recebimento;Cáceres;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Pressão Média;61,50;61,00;62,00;66,80;64,60;60,20;58,90;58,50;58,10;57,70;59,30;60,60;57,40;57,00;53,20;55,70;55,00;58,30;63,00;65,00;67,20;65,50;60,80;58,90;0,00;58,10;57,70;57,30;56,90;56,60;56,80
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Solicitado;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Programado;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Volume Realizado;12,86;10,29;15,97;7,22;13,28;10,58;12,92;16,24;12,88;16,11;9,82;11,10;10,42;15,92;15,24;11,67;14,81;7,94;13,07;15,08;9,66;18,12;13,75;10,56;8,36;14,30;11,99;21,11;12,03;14,67;9,15
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Alocação;100;100;100;1;1;1;100;100;100;100;100;1;1;100;1;1;1;0;1;1;0;1;2;100;100;100;100;100;100;100;100
700521;Bolívia - Mato Grosso Lateral Cuiabá;MTGAS;111566;Ponto de Entrega;Cuiabá;MT;Gasocidente do Mato Grosso Ltda - GOM;2001717813;MTGAS;;Gasocidente do Mato Grosso Ltda x Companhia Mato-Grossense de Gás - MTGás;Pressão Média;24,20;27,70;29,10;29,60;29,90;29,90;29,10;29,10;27,90;28,80;29,10;27,10;28,30;28,90;28,40;28,70;28,80;29,00;28,90;28,90;28,30;28,90;29,00;27,20;0,00;29,10;29,20;29,40;29,60;29,50;27,80
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Gás de Uso no Sistema;7433,46;7981,97;10485,75;12539,13;9177,49;6558,42;7737,06;6948,60;8103,15;7813,74;3490,45;5659,22;7067,51;8145,45;6414,02;7229,34;8593,89;8147,27;5214,28;5276,79;9417,75;6588,97;4738,68;3507,61;1109,57;5441,55;5365,82;3108,98;3180,39;4236,11;5436,90
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Gás Não Contado;7432,46;7980,97;10484,75;12538,13;9176,49;6557,42;7736,06;6947,60;8102,15;7812,74;3489,45;5658,22;7066,51;8144,45;6413,02;7228,34;8592,89;8146,27;5213,28;5275,79;9416,75;6587,97;4737,68;3506,61;1108,57;5440,55;5364,82;3107,98;3179,39;4235,11;5435,90
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Perdas Operacionais;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Perdas Extraordinárias;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Desequilibrio Diário;1121,47;-868,99;-329,78;904,94;126,54;-1036,21;-160,04;524,97;1415,27;-1134,53;509,73;-311,41;-42,34;226,23;524,43;-125,15;95,09;-897,31;452,43;274,77;-724,86;-289,38;-47,20;-294,02;850,85;-662,63;40,15;1001,17;-1138,75;-330,23;528,79
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Desequilíbrio Diário Acumulado;2947,45;2078,46;1748,67;2653,61;2780,16;1743,95;1583,91;2108,88;3524,15;2389,63;2899,36;2587,95;2545,61;2771,84;3296,27;3171,12;3266,20;2368,89;2821,32;3096,09;2371,24;2081,86;2034,66;1740,64;2591,49;1928,86;1969,01;2970,18;1831,43;1501,21;2029,99
700543;GASDUC III;;;;;;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;;Empacotamento;10592,66;11713,95;10845,09;10515,36;11420,16;11549,73;10510,64;10350,62;10875,51;12290,57;11156,21;11665,87;11354,51;11063,89;11538,37;12062,72;11937,00;12211,36;11135,48;11587,85;11862,58;11137,83;10848,50;10801,30;10507,32;11358,04;10695,52;10735,66;11736,68;10747,62;10513,05
700543;GASDUC III;Interconexão Campos Elíseos I (EDG Campos Elíseos >> GASDUC III);222297;Ponto de Recebimento;Duque de Caxias;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Solicitado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;104,62;0,00;0,00;0,00;0,00;0,00;0,00
700543;GASDUC III;Interconexão Campos Elíseos I (EDG Campos Elíseos >> GASDUC III);222297;Ponto de Recebimento;Duque de Caxias;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Programado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;104,62;0,00;0,00;0,00;0,00;0,00;0,00
700543;GASDUC III;Interconexão Campos Elíseos I (EDG Campos Elíseos >> GASDUC III);222297;Ponto de Recebimento;Duque de Caxias;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Realizado;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,02;275,12;0,00;0,00;0,00;0,00;0,00
700543;GASDUC III;Interconexão Campos Elíseos I (EDG Campos Elíseos >> GASDUC III);222297;Ponto de Recebimento;Duque de Caxias;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Alocação;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
700543;GASDUC III;Interconexão Campos Elíseos I (EDG Campos Elíseos >> GASDUC III);222297;Ponto de Recebimento;Duque de Caxias;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Pressão Média;78,00;85,45;79,07;76,11;81,57;84,16;77,22;76,38;79,90;88,95;81,42;85,06;82,77;82,39;84,04;87,55;86,53;87,87;81,48;84,46;86,27;81,21;79,51;79,16;77,29;80,99;78,53;78,62;85,39;77,78;75,59
700543;GASDUC III;Interconexão TECAB (TECAB >> GASDUC III);222296;Ponto de Recebimento;Macaé;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Solicitado;15604,28;15577,51;16472,12;17391,25;15192,62;14894,70;14928,56;15227,10;14969,99;15764,46;10698,09;13991,48;13968,58;14140,85;13830,58;14362,88;17476,49;16343,72;12941,92;12827,89;16679,47;12918,41;10698,30;10993,44;8724,92;12266,68;12703,74;11128,08;10870,58;12368,76;13300,50
700543;GASDUC III;Interconexão TECAB (TECAB >> GASDUC III);222296;Ponto de Recebimento;Macaé;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Programado;15604,28;15577,51;16472,12;17391,25;15192,62;14894,70;14928,56;15227,10;14969,99;15764,46;10698,09;13991,48;13968,58;14140,85;13830,58;14362,88;17476,49;16343,72;12941,92;12827,89;16679,47;12918,41;10698,30;10993,44;8724,92;12266,68;12703,74;11128,08;10870,58;12368,76;13300,50
700543;GASDUC III;Interconexão TECAB (TECAB >> GASDUC III);222296;Ponto de Recebimento;Macaé;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Realizado;17237,41;15910,25;18270,53;19715,09;17022,86;14105,98;16159,90;16200,38;18207,75;14780,34;11938,51;13466,15;15218,76;16702,83;15260,39;15261,43;16983,14;13877,52;14122,61;13761,39;17075,94;14775,71;12831,05;11046,85;9682,52;12546,42;13593,20;12332,05;10495,63;12521,63;13806,34
700543;GASDUC III;Interconexão TECAB (TECAB >> GASDUC III);222296;Ponto de Recebimento;Macaé;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Alocação;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
700543;GASDUC III;Interconexão TECAB (TECAB >> GASDUC III);222296;Ponto de Recebimento;Macaé;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Pressão Média;79,01;86,44;80,15;79,20;85,99;84,91;78,05;77,37;81,01;90,02;81,87;85,21;83,36;83,72;84,91;88,19;87,40;89,87;82,20;84,93;86,35;81,88;80,05;79,23;77,26;80,79;79,05;79,19;85,30;77,69;76,02
700543;GASDUC III;Guapimirim;222302;Ponto de Entrega;Guapimirim;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Solicitado;623,18;623,52;609,48;515,66;594,10;581,74;581,74;607,71;623,52;679,92;551,65;594,10;581,74;638,18;623,61;623,52;794,56;545,73;594,10;628,18;581,74;581,74;623,52;632,94;545,57;594,10;581,74;581,74;581,74;623,52;609,48
700543;GASDUC III;Guapimirim;222302;Ponto de Entrega;Guapimirim;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Programado;623,18;623,52;609,48;515,66;594,10;581,74;581,74;607,71;623,52;679,92;551,65;594,10;581,74;638,18;623,61;623,52;794,56;545,73;594,10;628,18;581,74;581,74;623,52;632,94;545,57;594,10;581,74;581,74;581,74;623,52;609,48
700543;GASDUC III;Guapimirim;222302;Ponto de Entrega;Guapimirim;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Volume Realizado;609,20;655,80;626,47;520,09;590,29;596,19;607,97;642,42;656,75;653,28;549,84;619,63;587,92;576,94;631,85;656,33;637,53;524,12;606,67;599,49;587,68;597,35;658,02;630,95;547,56;606,60;576,29;582,54;602,74;661,16;630,29
700543;GASDUC III;Guapimirim;222302;Ponto de Entrega;Guapimirim;RJ;Nova Transportadora do Sudeste S.A. - NTS;3004992714;Petróleo Brasileiro S.A. - PETROBRAS;33000167;GASDUC III;Alocação;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
